,mean,min,max,std
precision,0.02370579038131843,0.007509386733416771,0.20588235294117646,0.02790364848324498
recall,0.8609376378014838,0.5384615384615384,1.0,0.11804486057337683
f1_score,0.044948901204132384,0.014906832298136646,0.34146341463414637,0.04629479274524456
accuracy,0.033341035221793484,0.013681592039800995,0.3076923076923077,0.040898519510332285
positives,16.44,5.0,31.0,6.363672409121344
negatives,727.3,32.0,809.0,181.86564338790865
tnr,0.01111887132549658,0.001287001287001287,0.15625,0.021696426679770446
npv,0.6916042291042291,0.14285714285714285,1.0,0.23938053474874613
fpr,0.9888811286745033,0.84375,0.9987129987129987,0.021696426679770443
fdr,0.9762942096186817,0.7941176470588235,0.9924906132665833,0.027903648483244982
for,0.30839577089577086,0.0,0.8571428571428571,0.23938053474874613
fnr,0.13906236219851623,0.0,0.46153846153846156,0.11804486057337683
balanced_accuracy,0.43602825456349026,0.2723636013109697,0.578125,0.06221208936379362
true_negatives,5.62,1.0,16.0,3.3859855225892024
true_positives,14.04,4.0,25.0,5.540058203481186
false_negatives,2.4,0.0,6.0,2.0203050891044216
false_positives,721.68,27.0,793.0,181.3321948743774
kappa,-0.004909374535602032,-0.02154667231709495,0.06233303650934985,0.01126186318260218
mcc,-0.1842177364822993,-0.5595712639443023,0.17935751349485982,0.15833005414891782
support,743.74,39.0,815.0,184.0208295663448
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.5488669796761129,0.0,1.0,0.29551627742536596
ndcg_10,0.527977585320403,0.0,1.0,0.23889043418448686
ndcg_all,0.6429647552304855,0.26810043850915743,0.9016016528561012,0.14892864728110594
