,mean,min,max,std
precision,0.04608374505609323,0.013333333333333334,0.2842809364548495,0.040335419623498125
recall,0.7478614321456111,0.29411764705882354,1.0,0.17404881441324155
f1_score,0.08432680845098797,0.02622950819672131,0.43478260869565216,0.06262058976182976
accuracy,0.08117651066118624,0.03722084367245657,0.2939297124600639,0.037528193390008575
positives,18.74,5.0,92.0,13.31534330563575
negatives,307.46,154.0,401.0,49.11552811525919
tnr,0.03970117183019187,0.011976047904191617,0.0891089108910891,0.015798451398000426
npv,0.7269146626051592,0.3076923076923077,1.0,0.19479520623604113
fpr,0.960298828169808,0.9108910891089109,0.9880239520958084,0.01579845139800043
fdr,0.9539162549439069,0.7157190635451505,0.9866666666666667,0.040335419623498125
for,0.27308533739484075,0.0,0.6923076923076923,0.19479520623604113
fnr,0.25213856785438893,0.0,0.7058823529411765,0.17404881441324155
balanced_accuracy,0.3937813019879015,0.16174934725848564,0.5336879432624113,0.08718553597972918
true_negatives,12.12,3.0,23.0,4.813416623546806
true_positives,13.96,4.0,85.0,12.180546551190314
false_negatives,4.78,0.0,18.0,3.9604679171089088
false_positives,295.34,151.0,386.0,47.83799616989638
kappa,-0.027084813778120224,-0.15047665607430938,0.007085916740478426,0.028431679255141444
mcc,-0.2138140038172918,-0.6333259853955444,0.0596284793999944,0.17000508508932882
support,326.2,161.0,416.0,47.101280367362605
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.2347940417508923,0.0,0.8930068676327362,0.2706279921038485
ndcg_10,0.2186034486661702,0.0,0.8974416663360282,0.22405742053038075
ndcg_all,0.42518620068951907,0.12411077766709541,0.8178255721668803,0.19016714933204285
