,mean,min,max,std
precision,0.04603808779086334,0.013333333333333334,0.2842809364548495,0.04011944345824525
recall,0.749770523054702,0.29411764705882354,1.0,0.17155248740302365
f1_score,0.08427472572068727,0.02622950819672131,0.43478260869565216,0.06219239806762428
accuracy,0.08110436262352354,0.03980099502487562,0.2939297124600639,0.03720963615146304
positives,18.74,5.0,92.0,13.31534330563575
negatives,307.74,154.0,398.0,48.45440103429034
tnr,0.039654702052626514,0.011940298507462687,0.0891089108910891,0.015804357297655072
npv,0.7281037271637891,0.3076923076923077,1.0,0.19382632821735024
fpr,0.9603452979473736,0.9108910891089109,0.9880597014925373,0.015804357297655072
fdr,0.9539619122091367,0.7157190635451505,0.9866666666666667,0.040119443458245266
for,0.271896272836211,0.0,0.6923076923076923,0.19382632821735024
fnr,0.250229476945298,0.0,0.7058823529411765,0.17155248740302365
balanced_accuracy,0.3947126125536643,0.17453135100193923,0.5336879432624113,0.08578366243414211
true_negatives,12.12,3.0,23.0,4.813416623546806
true_positives,14.0,4.0,85.0,12.172233373794738
false_negatives,4.74,0.0,18.0,3.911312739597637
false_positives,295.62,151.0,383.0,47.21850640309132
kappa,-0.02689158067295702,-0.15047665607430938,0.005639218199295026,0.028178227108069217
mcc,-0.2123052570090993,-0.5988566496297605,0.05317501081288274,0.16787132471342983
support,326.48,161.0,413.0,46.53120085556813
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.1456327465960851,0.0,0.8539316501572937,0.20728217173318506
ndcg_10,0.14494827915005395,0.0,0.6692234409906511,0.17423262369199466
ndcg_all,0.3638602843852077,0.12278438360805362,0.8126690441360803,0.16055536725071684
