,mean,min,max,std
precision,0.04607017133017668,0.013333333333333334,0.2842809364548495,0.04021667973093439
recall,0.7493176230135667,0.29411764705882354,1.0,0.17274736410290845
f1_score,0.0843125529281659,0.02622950819672131,0.43478260869565216,0.062395138662766754
accuracy,0.08110451904149629,0.03722084367245657,0.2939297124600639,0.03732336410547295
positives,18.74,5.0,92.0,13.31534330563575
negatives,308.2,154.0,397.0,49.233719986138254
tnr,0.03964233719251962,0.012084592145015106,0.08955223880597014,0.01569352888538809
npv,0.7297189879094845,0.3076923076923077,1.0,0.19189024994431517
fpr,0.9603576628074804,0.9104477611940298,0.9879154078549849,0.015693528885388087
fdr,0.9539298286698232,0.7157190635451505,0.9866666666666667,0.04021667973093439
for,0.2702810120905154,0.0,0.6923076923076923,0.19189024994431517
fnr,0.2506823769864333,0.0,0.7058823529411765,0.17274736410290845
balanced_accuracy,0.3944799801030431,0.16174934725848564,0.5320284697508897,0.08616723102927258
true_negatives,12.12,3.0,23.0,4.753688149259284
true_positives,14.0,4.0,85.0,12.188988004400882
false_negatives,4.74,0.0,18.0,3.932128259996261
false_positives,296.08,151.0,382.0,47.97696726300134
kappa,-0.02693613172243346,-0.15106635071090047,0.0050192499643518795,0.028340303526013532
mcc,-0.21176906792509803,-0.6333259853955444,0.05015913721006947,0.16753483074215597
support,326.94,161.0,412.0,47.14390042135648
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.2804413721925776,0.0,1.0,0.31139028754725356
ndcg_10,0.25546758544601855,0.0,0.898758383963747,0.2513350271509788
ndcg_all,0.444744492273246,0.12405418436664374,0.8235270138808837,0.19657552558281458
