,mean,min,max,std
precision,0.04599363143450584,0.013333333333333334,0.2842809364548495,0.040181463103464855
recall,0.7484085321044758,0.29411764705882354,1.0,0.17249698905565883
f1_score,0.08417371345599124,0.02622950819672131,0.43478260869565216,0.06231468510908275
accuracy,0.081102463050439,0.03722084367245657,0.2939297124600639,0.03728634561236316
positives,18.74,5.0,92.0,13.31534330563575
negatives,308.14,154.0,398.0,49.01062358805278
tnr,0.03971659499741846,0.012084592145015106,0.0891089108910891,0.015791707483443294
npv,0.7287666069571036,0.3076923076923077,1.0,0.19208648089381533
fpr,0.9602834050025816,0.9108910891089109,0.9879154078549849,0.01579170748344329
fdr,0.9540063685654941,0.7157190635451505,0.9866666666666667,0.04018146310346486
for,0.27123339304289634,0.0,0.6923076923076923,0.19208648089381533
fnr,0.2515914678955243,0.0,0.7058823529411765,0.17249698905565883
balanced_accuracy,0.3940625635509471,0.16174934725848564,0.5320284697508897,0.08611262883223239
true_negatives,12.14,3.0,23.0,4.776686581080818
true_positives,13.98,4.0,85.0,12.183109753478629
false_negatives,4.76,0.0,18.0,3.9308305192959634
false_positives,296.0,151.0,383.0,47.78950444076479
kappa,-0.027061759690137386,-0.15047665607430938,0.004981602037928079,0.028272852742490667
mcc,-0.21272179323240997,-0.6333259853955444,0.04997019712208422,0.16753523780146767
support,326.88,161.0,413.0,46.96139969405181
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.2692264429022656,0.0,1.0,0.30598161565388987
ndcg_10,0.23979854373562173,0.0,0.898758383963747,0.2495358705908752
ndcg_all,0.43437921015209696,0.124147252266421,0.8160293896510551,0.1911737000790318
