,mean,min,max,std
precision,0.025416038913482833,0.002188183807439825,0.13478260869565217,0.023305324258328364
recall,0.35582179845085804,0.06666666666666667,1.0,0.19180283753275681
f1_score,0.0456450849839719,0.004310344827586207,0.19254658385093168,0.03690830185465567
accuracy,0.08155105119857238,0.0340632603406326,0.25935828877005346,0.043778352575359336
positives,18.74,5.0,92.0,13.31534330563575
negatives,294.44,148.0,496.0,82.57122095871081
tnr,0.06377869656992981,0.013245033112582781,0.2548476454293629,0.04312215983648557
npv,0.5966185856340167,0.18181818181818182,1.0,0.18936608980975203
fpr,0.9362213034300702,0.7451523545706371,0.9867549668874173,0.04312215983648557
fdr,0.9745839610865172,0.8652173913043478,0.9978118161925602,0.02330532425832837
for,0.4033814143659833,0.0,0.8181818181818182,0.18936608980975203
fnr,0.644178201549142,0.0,0.9333333333333333,0.19180283753275681
balanced_accuracy,0.20980024751039392,0.063003663003663,0.5119047619047619,0.0957245070022431
true_negatives,18.4,4.0,92.0,14.172407800269609
true_positives,6.5,1.0,31.0,5.353808486126717
false_negatives,12.24,0.0,61.0,9.511668451680487
false_positives,276.04,133.0,479.0,80.3522754081383
kappa,-0.08499987546773728,-0.4084705220205429,0.0019474196689386325,0.07233476102286875
mcc,-0.45785326018715267,-0.7287475336351058,0.031219527052723132,0.16870163332914334
support,313.18,165.0,513.0,79.75771730301561
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.09605064368621295,0.0,0.4468535299918563,0.13919781584946594
ndcg_10,0.08519243164818188,0.0,0.36880841771098233,0.10950656969642565
ndcg_all,0.1910923861287681,0.022557304770223545,0.5088239253868704,0.11989022966194854
