,mean,min,max,std
precision,0.01666341343409972,0.002871912693854107,0.09225874867444327,0.013991134770064383
recall,0.8451948245768555,0.5294117647058824,1.0,0.11282264562659801
f1_score,0.03229972110037554,0.005720823798627002,0.1681159420289855,0.025647419770058518
accuracy,0.02591265043752359,0.010813887307911212,0.09748427672955975,0.014242025791121327
positives,18.74,5.0,92.0,13.31534330563575
negatives,1028.36,323.0,1750.0,285.9735081208376
tnr,0.009666208133070803,0.002061855670103093,0.025440313111545987,0.004604311408852862
npv,0.7649033437322912,0.36363636363636365,1.0,0.1798836252522474
fpr,0.9903337918669289,0.974559686888454,0.9979381443298969,0.004604311408852875
fdr,0.9833365865659002,0.9077412513255567,0.9971280873061459,0.013991134770064381
for,0.23509665626770893,0.0,0.6363636363636364,0.1798836252522474
fnr,0.1548051754231445,0.0,0.47058823529411764,0.11282264562659801
balanced_accuracy,0.4274305163549631,0.2774260389087142,0.5067497403946002,0.055877405021974164
true_negatives,9.38,3.0,21.0,4.1151288818560365
true_positives,15.82,4.0,87.0,12.339897131843921
false_negatives,2.92,0.0,8.0,2.3890908526133567
false_positives,1018.98,320.0,1736.0,285.33900282052616
kappa,-0.006040825724655681,-0.02981105020930186,0.0003975691486339805,0.0065419481882014316
mcc,-0.17090404545739257,-0.506218213422125,0.01410049990179833,0.12619491152227913
support,1047.1,330.0,1757.0,283.9685416609756
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.09157502968461753,0.0,0.5531464700081437,0.15860510977573572
ndcg_10,0.09290552437507779,0.0,0.4424602675939345,0.12595815740658453
ndcg_all,0.33850044313116034,0.15170293984120709,0.7615061911165331,0.13155576360677304
