,mean,min,max,std
precision,0.020639443577815733,0.005268703898840885,0.1095360824742268,0.015615253256813282
recall,0.8230225314876952,0.5294117647058824,1.0,0.10878415898960683
f1_score,0.03981614000500239,0.010460251046025104,0.195852534562212,0.02809676724056769
accuracy,0.03399683933563582,0.016283524904214558,0.11533586818757921,0.014706064376682301
positives,18.74,5.0,92.0,13.31534330563575
negatives,755.84,294.0,1027.0,121.84388807496455
tnr,0.014045035234394106,0.0038948393378773127,0.030821917808219176,0.005562109384688567
npv,0.7594371102925283,0.36363636363636365,1.0,0.1752715796991722
fpr,0.9859549647656058,0.9691780821917808,0.9961051606621227,0.005562109384688565
fdr,0.9793605564221842,0.8904639175257731,0.9947312961011591,0.015615253256813282
for,0.24056288970747175,0.0,0.6363636363636364,0.1752715796991722
fnr,0.17697746851230486,0.0,0.47058823529411764,0.10878415898960683
balanced_accuracy,0.41853378336104463,0.27544968400583375,0.5099601593625498,0.05440043233869557
true_negatives,10.58,3.0,23.0,4.4358925660055
true_positives,15.42,4.0,85.0,12.086575450575276
false_negatives,3.32,0.0,9.0,2.5107117455788814
false_positives,745.26,291.0,1023.0,120.52822685739535
kappa,-0.008101211544504326,-0.02538177062440594,0.0005291562063106658,0.006684141509808319
mcc,-0.18214774233791892,-0.4613759772200522,0.016268009197619993,0.12226202888269866
support,774.58,301.0,1044.0,121.75537368185505
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.11697783933011481,0.0,0.565602538756171,0.17883295430190388
ndcg_10,0.120490631599166,0.0,0.5730379245414764,0.15832617350238662
ndcg_all,0.35436035154059875,0.15105389124829935,0.7640105482166628,0.13700177966692734
