,mean,min,max,std
precision,0.024800257291889793,0.005427408412483039,0.1566265060240964,0.026918666594687765
recall,0.7798656437933461,0.29411764705882354,1.0,0.163490445221914
f1_score,0.046699177602598875,0.01078167115902965,0.2639593908629442,0.04599744406797561
accuracy,0.04143349164560635,0.016059957173447537,0.19889502762430938,0.029928434510088912
positives,18.74,5.0,92.0,13.31534330563575
negatives,676.48,150.0,988.0,188.87013571040103
tnr,0.018116533623427064,0.004895960832313341,0.06666666666666667,0.011392940799507005
npv,0.7351299396512414,0.3076923076923077,1.0,0.19622192434409785
fpr,0.9818834663765729,0.9333333333333333,0.9951040391676866,0.011392940799507005
fdr,0.9751997427081102,0.8433734939759037,0.994572591587517,0.026918666594687755
for,0.2648700603487587,0.0,0.6923076923076923,0.19622192434409785
fnr,0.22013435620665384,0.0,0.7058823529411765,0.163490445221914
balanced_accuracy,0.3989910887083866,0.15785340314136126,0.5208333333333334,0.08189005429646663
true_negatives,10.94,2.0,23.0,4.683492504618357
true_positives,14.58,4.0,85.0,12.200853098309587
false_negatives,4.16,0.0,14.0,3.4307136164896286
false_positives,665.54,140.0,965.0,188.71176704277917
kappa,-0.013060024292153163,-0.06726800692317925,0.0020954786019395932,0.014645916250649677
mcc,-0.21284814803200544,-0.6397837178127093,0.032385771721278905,0.1611950022872124
support,695.22,181.0,1001.0,188.29886036916562
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.1560778290004886,0.0,0.9269658250786468,0.23759832152466262
ndcg_10,0.1468150953705549,0.0,0.6920439387210986,0.18564745382794737
ndcg_all,0.3694434633153273,0.11754145686785701,0.8148523596207459,0.15820361467537206
