,mean,min,max,std
precision,0.023290209561910292,0.005537098560354375,0.13102409638554216,0.02086433288591508
recall,0.8105744626756988,0.45,1.0,0.1393891336889091
f1_score,0.0444841884720951,0.01098901098901099,0.23015873015873015,0.036773221490708066
accuracy,0.03743230030666761,0.018584070796460177,0.1390532544378698,0.02068095217557979
positives,18.74,5.0,92.0,13.31534330563575
negatives,697.0,167.0,1109.0,168.63654916501852
tnr,0.015056926821668308,0.002705139765554554,0.02968036529680365,0.006140295952992512
npv,0.7458746753132202,0.36363636363636365,1.0,0.19059201267868744
fpr,0.9849430731783317,0.9703196347031964,0.9972948602344455,0.0061402959529925135
fdr,0.9767097904380897,0.8689759036144579,0.9944629014396457,0.02086433288591508
for,0.2541253246867798,0.0,0.6363636363636364,0.19059201267868744
fnr,0.18942553732430142,0.0,0.55,0.13938913368890912
balanced_accuracy,0.41281569474868346,0.23020156046814044,0.5108191653786708,0.06933511660503415
true_negatives,10.1,3.0,21.0,4.205196008438579
true_positives,15.12,4.0,87.0,12.321608694335595
false_negatives,3.62,0.0,14.0,3.096344124734121
false_positives,686.9,164.0,1106.0,167.9278574451614
kappa,-0.010326167074269534,-0.05557216228701867,0.0014696619777452291,0.010895467124864555
mcc,-0.19395306813554444,-0.5532551099028514,0.02711773151534032,0.14789576459031736
support,715.74,174.0,1130.0,166.67637100999417
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.09075312190360257,0.0,0.7227265726449519,0.15277406368156088
ndcg_10,0.09561675603592626,0.0,0.5770796263884236,0.141733338828187
ndcg_all,0.33406158280231557,0.1339375177387753,0.7569123272833472,0.13162990809187425
