,mean,min,max,std
precision,0.020157093369548854,0.005219206680584551,0.11740890688259109,0.017073831769866054
recall,0.8023293750458612,0.41935483870967744,1.0,0.14546649583463284
f1_score,0.03879753857208663,0.010362694300518135,0.20888355342136855,0.030586615028508866
accuracy,0.03234010605329721,0.013077593722755012,0.1248339973439575,0.016981769023244792
positives,18.74,5.0,92.0,13.31534330563575
negatives,776.9,261.0,1257.0,174.36780853431983
tnr,0.012853859656314075,0.0039177277179236044,0.028132992327365727,0.005640093735558615
npv,0.7351826887251035,0.4,1.0,0.1913144187353601
fpr,0.9871461403436858,0.9718670076726342,0.9960822722820764,0.005640093735558619
fdr,0.9798429066304511,0.8825910931174089,0.9947807933194155,0.017073831769866057
for,0.2648173112748964,0.0,0.6,0.1913144187353601
fnr,0.1976706249541389,0.0,0.5806451612903226,0.14546649583463286
balanced_accuracy,0.4075916173510876,0.22145135970020763,0.5104022191400832,0.07246498835944783
true_negatives,9.68,3.0,22.0,4.112896590889071
true_positives,14.98,4.0,87.0,12.390730570940223
false_negatives,3.76,0.0,18.0,3.437844602393203
false_positives,767.22,258.0,1248.0,173.7654165822417
kappa,-0.009426939873966733,-0.05425653115274787,0.0006070592316363976,0.01005803386759835
mcc,-0.20612913003750133,-0.5408013524259907,0.017424746024509254,0.1533481695307543
support,795.64,268.0,1268.0,172.91283164339995
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.1041770276794416,0.0,0.6608397947263839,0.18281377332205892
ndcg_10,0.09580685197945091,0.0,0.4982710309705437,0.1497337031370303
ndcg_all,0.33386341640605854,0.13235473113342258,0.7558138657232686,0.13711283593538168
