,mean,min,max,std
precision,0.03347533915380079,0.0066844919786096255,0.23513513513513515,0.03398258223359808
recall,0.8021006227900942,0.45,1.0,0.14563925441813907
f1_score,0.06233359768926432,0.013245033112582781,0.37662337662337664,0.05513697681544265
accuracy,0.053532716161144925,0.023474178403755867,0.24607329842931938,0.03387714010949308
positives,18.74,5.0,92.0,13.31534330563575
negatives,497.26,167.0,831.0,147.88837627323758
tnr,0.022073293703589424,0.0036101083032490976,0.05179282868525897,0.009896202369022517
npv,0.741728823744768,0.36363636363636365,1.0,0.19606832402875773
fpr,0.9779267062964105,0.9482071713147411,0.9963898916967509,0.00989620236902251
fdr,0.9665246608461991,0.7648648648648648,0.9933155080213903,0.03398258223359809
for,0.258271176255232,0.0,0.6363636363636364,0.19606832402875773
fnr,0.197899377209906,0.0,0.55,0.14563925441813907
balanced_accuracy,0.4120869582468417,0.23238007380073802,0.5162412993039444,0.07193726536536539
true_negatives,10.3,3.0,21.0,4.229391812310704
true_positives,14.94,4.0,87.0,12.319571288591737
false_negatives,3.8,0.0,14.0,3.2513733362117265
false_positives,486.96,164.0,828.0,147.36598339245216
kappa,-0.01553994920440717,-0.08420405654578977,0.0024541246025990837,0.01786702727970988
mcc,-0.19282267930086294,-0.5486386107914406,0.03505096051502998,0.1536471374629673
support,516.0,174.0,852.0,144.39868279121086
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.1328747669879089,0.0,0.8539316501572937,0.20449111037238138
ndcg_10,0.13138602519615714,0.0,0.554225284691575,0.17462757204384943
ndcg_all,0.36878165077483727,0.1415612800319559,0.7964155794562497,0.15226957945016256
