,mean,min,max,std
precision,0.024145294708290604,0.004690431519699813,0.1590493601462523,0.023079343545368412
recall,0.8400561691146706,0.47058823529411764,1.0,0.11796407756175563
f1_score,0.04598724478116591,0.009319664492078284,0.27230046948356806,0.03989680855481643
accuracy,0.037481251316521025,0.013986013986013986,0.16666666666666666,0.023177101822062743
positives,18.74,5.0,92.0,13.31534330563575
negatives,711.4,302.0,1075.0,184.8963305780417
tnr,0.014228284378267566,0.0034403669724770644,0.03869047619047619,0.006772568391019058
npv,0.7630846405056931,0.36363636363636365,1.0,0.1848489659085049
fpr,0.9857717156217325,0.9613095238095238,0.9965596330275229,0.00677256839101905
fdr,0.9758547052917095,0.8409506398537477,0.9953095684803002,0.023079343545368416
for,0.2369153594943069,0.0,0.6363636363636364,0.1848489659085049
fnr,0.15994383088532943,0.0,0.5294117647058824,0.11796407756175563
balanced_accuracy,0.4271422267464691,0.2546393557422969,0.5084635416666666,0.05829055392624049
true_negatives,9.64,3.0,21.0,4.202817325245978
true_positives,15.72,4.0,87.0,12.350394523980164
false_negatives,3.02,0.0,9.0,2.486617241579904
false_positives,701.76,299.0,1061.0,184.15106487304806
kappa,-0.008672956748048062,-0.050237476476386655,0.0008163984766746957,0.009737898781466161
mcc,-0.16939937158750984,-0.5052989838447652,0.020208066038098348,0.13119091772441638
support,730.14,309.0,1082.0,181.71394990984243
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.08687431723911217,0.0,0.5296347172140421,0.14034825561477773
ndcg_10,0.0924099621100202,0.0,0.47993268839375147,0.13474098514725788
ndcg_all,0.3438290911608035,0.15467631293088252,0.7687793424075323,0.12815757071317696
