,precision,recall,f1_score,accuracy,positives,negatives,tnr,npv,fpr,fdr,for,fnr,balanced_accuracy,true_negatives,true_positives,false_negatives,false_positives,kappa,mcc,support,topic_number,ndcg_5,ndcg_10,ndcg_all
0,0.04679376083188908,0.8709677419354839,0.08881578947368421,0.061016949152542375,31,559,0.016100178890876567,0.6923076923076923,0.9838998211091234,0.9532062391681109,0.3076923076923077,0.12903225806451613,0.4435339604131802,9,27,4,550,-0.012119673258067731,-0.171650270463895,590,1,0.0,0.0,0.4148808553692644
1,0.05289672544080604,0.75,0.0988235294117647,0.061274509803921566,28,380,0.010526315789473684,0.36363636363636365,0.9894736842105263,0.947103274559194,0.6363636363636364,0.25,0.38026315789473686,4,21,7,376,-0.03371083827265031,-0.37379803473751055,408,2,0.0,0.0,0.38117223488851665
2,0.03954802259887006,0.5833333333333334,0.07407407407407407,0.05405405405405406,24,346,0.017341040462427744,0.375,0.9826589595375722,0.96045197740113,0.625,0.4166666666666667,0.3003371868978806,6,14,10,340,-0.053976625321483285,-0.4835141957463257,370,3,0.0,0.0,0.28856649683144625
3,0.015517241379310345,0.9,0.030508474576271188,0.04983388704318937,10,592,0.03547297297297297,0.9545454545454546,0.964527027027027,0.9844827586206897,0.045454545454545456,0.1,0.46773648648648647,21,9,1,571,-0.002223645148146103,-0.043951851259975645,602,4,0.0,0.0,0.3082518075763536
4,0.02204724409448819,0.9333333333333333,0.043076923076923075,0.040123456790123455,15,633,0.018957345971563982,0.9230769230769231,0.981042654028436,0.9779527559055118,0.07692307692307693,0.06666666666666667,0.47614533965244865,12,14,1,621,-0.002252890712420852,-0.05116726206110685,648,5,0.0,0.07171242235367575,0.3890081920574887
5,0.016638935108153077,0.7692307692307693,0.03257328990228013,0.043478260869565216,13,608,0.027960526315789474,0.85,0.9720394736842105,0.9833610648918469,0.15,0.23076923076923078,0.3985956477732794,17,10,3,591,-0.008767515888729704,-0.1644590672332991,621,6,0.09797563950575583,0.06978419164318803,0.3393878956543814
6,0.020118343195266272,0.8095238095238095,0.03926096997690531,0.023474178403755867,21,831,0.0036101083032490976,0.42857142857142855,0.9963898916967509,0.9798816568047337,0.5714285714285714,0.19047619047619047,0.40656695891352934,3,17,4,828,-0.009286074305680181,-0.32096912999824123,852,7,0.2308584011611105,0.2588731968457448,0.4567205905065557
7,0.009174311926605505,0.8,0.018140589569160998,0.035634743875278395,5,444,0.02702702702702703,0.9230769230769231,0.972972972972973,0.9908256880733946,0.07692307692307693,0.2,0.4135135135135135,12,4,1,432,-0.003965938373035716,-0.10825296899709932,449,8,0.0,0.0,0.15967062056011558
8,0.115,0.8846153846153846,0.20353982300884957,0.12832929782082325,52,361,0.019390581717451522,0.5384615384615384,0.9806094182825484,0.885,0.46153846153846156,0.11538461538461539,0.45200298316641807,7,46,6,354,-0.024842151699798753,-0.18238866396761133,413,9,0.49698443151337335,0.4257168561749201,0.6549874152205479
9,0.23513513513513515,0.9456521739130435,0.37662337662337664,0.24607329842931938,92,290,0.02413793103448276,0.5833333333333334,0.9758620689655172,0.7648648648648648,0.4166666666666667,0.05434782608695652,0.48489505247376313,7,87,5,283,-0.014870299988930302,-0.0740543618990968,382,10,0.42696582507864683,0.554225284691575,0.7964155794562497
