,mean,min,max,std
precision,0.02455075732270302,0.004125412541254125,0.13063063063063063,0.02268822456606127
recall,0.8008768486173449,0.5,1.0,0.1404139764094939
f1_score,0.046659535569223615,0.008203445447087777,0.22955145118733508,0.04024024289672558
accuracy,0.0395350187618714,0.014728682170542635,0.13864306784660768,0.024931275134758773
positives,18.74,5.0,92.0,13.31534330563575
negatives,712.66,88.0,1269.0,251.6451672575526
tnr,0.016166569265147465,0.002364066193853428,0.04421768707482993,0.00888468069176222
npv,0.7368938370882644,0.3333333333333333,1.0,0.19605062603359166
fpr,0.9838334307348525,0.95578231292517,0.9976359338061466,0.008884680691762221
fdr,0.9754492426772969,0.8693693693693694,0.9958745874587459,0.022688224566061267
for,0.26310616291173566,0.0,0.6666666666666666,0.19605062603359164
fnr,0.19912315138265513,0.0,0.5,0.14041397640949393
balanced_accuracy,0.4085217089412462,0.2566555740432612,0.5170454545454546,0.06971370839644989
true_negatives,10.08,3.0,21.0,4.256279874179674
true_positives,14.92,4.0,87.0,12.331873419753235
false_negatives,3.82,0.0,12.0,3.1795905268394775
false_positives,702.58,85.0,1266.0,251.49796850723328
kappa,-0.011879489572834245,-0.07024445068839569,0.005174325489712972,0.014393477849543802
mcc,-0.20256123080170607,-0.5223739524857741,0.05093008460415672,0.15279814337815154
support,731.4,95.0,1290.0,249.62085535582045
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.17025488085063942,0.0,0.7227265726449519,0.20442680283827414
ndcg_10,0.16663143820525886,0.0,0.6293601310231419,0.18729226977932562
ndcg_all,0.3925899538337629,0.13534668626769542,0.8094173066943577,0.15998290433825332
