,mean,min,max,std
precision,0.02064897074291056,0.005940594059405941,0.10967741935483871,0.01554058177728306
recall,0.8203132166007111,0.47058823529411764,1.0,0.11858478929858261
f1_score,0.03982676592481659,0.011799410029498525,0.19607843137254902,0.0279379898931707
accuracy,0.03421549004963084,0.015521064301552107,0.11548223350253807,0.015026987917033049
positives,18.74,5.0,92.0,13.31534330563575
negatives,754.98,294.0,1022.0,143.4063002060074
tnr,0.014279933647752872,0.004519774011299435,0.034782608695652174,0.0063207262716662195
npv,0.7567619078659932,0.35714285714285715,1.0,0.1849744095360383
fpr,0.9857200663522471,0.9652173913043478,0.9954802259887006,0.00632072627166623
fdr,0.9793510292570895,0.8903225806451613,0.994059405940594,0.015540581777283055
for,0.2432380921340068,0.0,0.6428571428571429,0.1849744095360383
fnr,0.17968678339928876,0.0,0.5294117647058824,0.11858478929858261
balanced_accuracy,0.4172965751242322,0.24616368286445012,0.5106837606837606,0.05927352276555827
true_negatives,10.56,3.0,22.0,4.513743186205924
true_positives,15.34,4.0,85.0,12.065484588997949
false_negatives,3.4,0.0,9.0,2.6802375770419595
false_positives,744.42,291.0,1004.0,142.15126895425914
kappa,-0.008556610077067088,-0.029077039223861068,0.0005836298460344391,0.007626186448298889
mcc,-0.18515832422933254,-0.5045643819640614,0.017085084249823284,0.13443600068836867
support,773.72,301.0,1029.0,143.575343230213
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.11851369284654327,0.0,0.6827250156238165,0.1771914975869335
ndcg_10,0.11079879461938898,0.0,0.5294541594936883,0.15572332033529546
ndcg_all,0.3490092784114646,0.16219807309532655,0.6991872748085857,0.13191026595414593
