,mean,min,max,std
precision,0.020909424561138562,0.005221932114882507,0.1095360824742268,0.015770269683876213
recall,0.7844650277976037,0.3,1.0,0.16420913011326882
f1_score,0.04026769578876425,0.010376134889753566,0.195852534562212,0.028400573974296513
accuracy,0.0365282147062326,0.016025641025641024,0.11533586818757921,0.016382729884841383
positives,18.74,5.0,92.0,13.31534330563575
negatives,708.6,332.0,990.0,156.35451606486316
tnr,0.016493764752822646,0.004920049200492005,0.04216867469879518,0.008549018506642135
npv,0.7430045347499851,0.36363636363636365,1.0,0.19474584253660085
fpr,0.9835062352471773,0.9578313253012049,0.995079950799508,0.008549018506642133
fdr,0.9790905754388615,0.8904639175257731,0.9947780678851175,0.015770269683876216
for,0.25699546525001504,0.0,0.6363636363636364,0.19474584253660085
fnr,0.21553497220239617,0.0,0.7,0.16420913011326882
balanced_accuracy,0.40047939627521323,0.15748752079866887,0.5210843373493976,0.08179054921957168
true_negatives,10.94,2.0,23.0,4.586626522526426
true_positives,14.7,4.0,85.0,12.249531436269848
false_negatives,4.04,0.0,14.0,3.3378472837737676
false_positives,697.66,318.0,967.0,156.61334292988408
kappa,-0.011102619214871554,-0.0457624952064426,0.0023185205630692485,0.010900759547005348
mcc,-0.20880085124547898,-0.6403893766237566,0.03406766393010993,0.16085155433849802
support,727.34,341.0,1003.0,158.25768318067307
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.15443491697654443,0.0,1.0,0.22010381774534277
ndcg_10,0.14371130605363386,0.0,0.6489315753318465,0.16090585984061134
ndcg_all,0.36506690049009066,0.11870538375063791,0.7322260719460162,0.13345152554920114
