,mean,min,max,std
precision,0.06074405975349333,0.01,0.5,0.07772815385708792
recall,0.7540976495611764,0.38461538461538464,1.0,0.15488104450759238
f1_score,0.10446705281036822,0.01972386587771203,0.6515151515151515,0.1046088534857625
accuracy,0.09584689857218173,0.03225806451612903,0.5027027027027027,0.07667329168586104
positives,18.74,5.0,92.0,13.31534330563575
negatives,299.36,53.0,617.0,133.11384723810897
tnr,0.04321132704044657,0.005172413793103448,0.12380952380952381,0.02235173063905596
npv,0.7119638869687865,0.3333333333333333,1.0,0.19192375748191556
fpr,0.9567886729595534,0.8761904761904762,0.9948275862068966,0.02235173063905596
fdr,0.9392559402465066,0.5,0.99,0.07772815385708792
for,0.28803611303121335,0.0,0.6666666666666666,0.19192375748191556
fnr,0.2459023504388237,0.0,0.6153846153846154,0.15488104450759238
balanced_accuracy,0.3986544883008115,0.23076923076923078,0.5471698113207547,0.07699976975678871
true_negatives,10.84,3.0,23.0,4.334766900495649
true_positives,14.12,4.0,86.0,12.270156261999174
false_negatives,4.62,0.0,14.0,3.4338649611521666
false_positives,288.52,48.0,609.0,132.84642660314387
kappa,-0.030122152613147535,-0.13316167003862445,0.023728813559321993,0.035109729821244266
mcc,-0.20952867611332415,-0.5333601228443309,0.10957582335289494,0.15990962717120535
support,318.1,60.0,634.0,129.54902153081605
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.3734399596212431,0.0,1.0,0.3009247543474328
ndcg_10,0.34812289947388536,0.0,0.8164274148224887,0.23199133898816476
ndcg_all,0.5164262855838883,0.18858286956833634,0.8269631576472196,0.17389034762622985
