,mean,min,max,std
precision,0.04537147896019172,0.008547008547008548,0.35390946502057613,0.05245587390549258
recall,0.7382831068765898,0.38461538461538464,1.0,0.15679584173655342
f1_score,0.08138528928728117,0.01674641148325359,0.5134328358208955,0.07778786484735233
accuracy,0.07446634069780507,0.017921146953405017,0.36328125,0.05324009540702302
positives,18.74,5.0,92.0,13.31534330563575
negatives,363.74,105.0,820.0,143.61965217126772
tnr,0.03373481280802624,0.006896551724137931,0.12380952380952381,0.019628525408725638
npv,0.6995948908160982,0.35294117647058826,1.0,0.18510729807087045
fpr,0.9662651871919737,0.8761904761904762,0.993103448275862,0.01962852540872564
fdr,0.9546285210398082,0.6460905349794238,0.9914529914529915,0.05245587390549258
for,0.30040510918390173,0.0,0.6470588235294118,0.18510729807087045
fnr,0.26171689312341034,0.0,0.6153846153846154,0.15679584173655342
balanced_accuracy,0.386008959842308,0.21076040172166427,0.521108179419525,0.077176579758678
true_negatives,10.72,4.0,25.0,4.314380320627796
true_positives,13.88,4.0,86.0,12.359644668295712
false_negatives,4.86,0.0,18.0,3.6978206488444525
false_positives,353.02,92.0,812.0,143.49137640304667
kappa,-0.026763719304039785,-0.13316167003862445,0.0035149384885764245,0.028446496821569398
mcc,-0.23546210129079279,-0.5625238348578099,0.041959067914834454,0.15607787380196309
support,382.48,122.0,837.0,140.47575722289926
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.3505406975108545,0.0,1.0,0.29594891464443135
ndcg_10,0.33970099284356337,0.0,0.8568270051237654,0.24598228707742978
ndcg_all,0.4989543449341403,0.1883940386739628,0.8175393437784513,0.17555695565927912
