,precision,recall,f1_score,accuracy,positives,negatives,tnr,npv,fpr,fdr,for,fnr,balanced_accuracy,true_negatives,true_positives,false_negatives,false_positives,kappa,mcc,support,topic_number,ndcg_5,ndcg_10,ndcg_all
0,0.05232558139534884,0.8709677419354839,0.09872029250457039,0.07330827067669173,31,501,0.023952095808383235,0.75,0.9760479041916168,0.9476744186046512,0.25,0.12903225806451613,0.44745991887193354,12,27,4,489,-0.012601732738251492,-0.14412376619025566,532,1,0.0,0.06571108366710597,0.4128298996558963
1,0.06430868167202572,0.7142857142857143,0.11799410029498525,0.07430340557275542,28,295,0.013559322033898305,0.3333333333333333,0.9864406779661017,0.9356913183279743,0.6666666666666666,0.2857142857142857,0.3639225181598063,4,20,8,291,-0.048826576601036065,-0.40488852234758127,323,2,0.3391602052736161,0.28371255449703187,0.5657806451881721
2,0.02823529411764706,0.5,0.053452115812917596,0.040632054176072234,24,419,0.014319809069212411,0.3333333333333333,0.9856801909307876,0.971764705882353,0.6666666666666666,0.5,0.2571599045346062,6,12,12,413,-0.05472054317197639,-0.5568424112042945,443,3,0.3156484524795145,0.2781981696179509,0.40627771631079174
3,0.015345268542199489,0.6,0.029925187032418952,0.0671462829736211,10,407,0.05405405405405406,0.8461538461538461,0.9459459459459459,0.9846547314578005,0.15384615384615385,0.4,0.327027027027027,22,6,4,385,-0.017666580926868125,-0.21889225610063837,417,4,0.16958010263680806,0.1993421740373415,0.3200213122908799
4,0.04838709677419355,0.8,0.09125475285171103,0.10820895522388059,15,253,0.06719367588932806,0.85,0.932806324110672,0.9516129032258065,0.15,0.2,0.4335968379446641,17,12,3,236,-0.015988833195863084,-0.11616727663000796,268,5,0.21398626473452756,0.1434248447073515,0.4154432415025843
5,0.019693654266958426,0.6923076923076923,0.03829787234042553,0.06995884773662552,13,473,0.052854122621564484,0.8620689655172413,0.9471458773784355,0.9803063457330415,0.13793103448275862,0.3076923076923077,0.3725809074646284,25,9,4,448,-0.01447321024485304,-0.17358398365550295,486,6,0.0,0.0,0.23581589151116256
6,0.15,0.7142857142857143,0.24793388429752067,0.2222222222222222,21,96,0.11458333333333333,0.6470588235294118,0.8854166666666666,0.85,0.35294117647058826,0.2857142857142857,0.41443452380952384,11,15,6,85,-0.06929798131967457,-0.18635857052124727,117,7,0.46604104255408946,0.5419293381075274,0.6335974005354081
7,0.009411764705882352,0.8,0.018604651162790697,0.03211009174311927,5,431,0.02320185614849188,0.9090909090909091,0.9767981438515081,0.9905882352941177,0.09090909090909091,0.2,0.411600928074246,10,4,1,421,-0.004158707635212533,-0.12003572802123604,436,8,0.0,0.0,0.1667602048817701
8,0.1053864168618267,0.8653846153846154,0.18789144050104384,0.1159090909090909,52,388,0.015463917525773196,0.46153846153846156,0.9845360824742269,0.8946135831381733,0.5384615384615384,0.1346153846153846,0.4404242664551943,6,45,7,382,-0.028902568048475574,-0.22715971495539766,440,9,0.0,0.07139757201806866,0.46407690265380924
9,0.302158273381295,0.9130434782608695,0.4540540540540541,0.3082191780821918,92,200,0.03,0.42857142857142855,0.97,0.697841726618705,0.5714285714285714,0.08695652173913043,0.47152173913043477,6,84,8,194,-0.036844325692589,-0.12384142919246302,292,10,0.565602538756171,0.5470550823417595,0.8191554901854955
10,0.041666666666666664,0.8421052631578947,0.0794044665012407,0.05597964376590331,19,374,0.016042780748663103,0.6666666666666666,0.983957219251337,0.9583333333333334,0.3333333333333333,0.15789473684210525,0.4290740219532789,6,16,3,368,-0.01402073900978551,-0.20340473739301312,393,11,0.5531464700081437,0.4066040564170966,0.645489058244662
