,mean,min,max,std
precision,0.06085955320691174,0.009411764705882352,0.302158273381295,0.05382733996325093
recall,0.7154737140118097,0.29411764705882354,1.0,0.1699092543241676
f1_score,0.10657738389035787,0.018604651162790697,0.4540540540540541,0.08235319129180892
accuracy,0.10985916205654844,0.02819548872180451,0.3082191780821918,0.07415166617584996
positives,18.74,5.0,92.0,13.31534330563575
negatives,288.36,93.0,515.0,142.72476152027863
tnr,0.06176115240752223,0.010498687664041995,0.1743119266055046,0.0517385876092123
npv,0.7002895661932336,0.3333333333333333,1.0,0.18959354122326116
fpr,0.9382388475924778,0.8256880733944955,0.989501312335958,0.0517385876092123
fdr,0.9391404467930883,0.697841726618705,0.9905882352941177,0.05382733996325093
for,0.29971043380676643,0.0,0.6666666666666666,0.18959354122326116
fnr,0.28452628598819035,0.0,0.7058823529411765,0.16990925432416762
balanced_accuracy,0.38861743320966596,0.19368932038834952,0.5863636363636364,0.08615474803644275
true_negatives,11.82,4.0,25.0,4.943311292100898
true_positives,13.54,4.0,84.0,12.226117911408899
false_negatives,5.2,0.0,14.0,3.5513722556160157
false_positives,276.54,82.0,509.0,143.61160916066044
kappa,-0.04006160879861463,-0.2345724907063198,0.030614985229612368,0.05285568208433453
mcc,-0.22439007754617787,-0.5797781267301296,0.12468141218904503,0.1637257641385431
support,307.1,113.0,532.0,143.33395427804115
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.30942244202047364,0.0,1.0,0.260873500030045
ndcg_10,0.28424217740896823,0.0,0.866947989864271,0.21561188023430813
ndcg_all,0.45909743132328473,0.1667602048817701,0.8186820248538405,0.15217924522984205
