,mean,min,max,std
precision,0.047207558286510985,0.007363770250368188,0.2842809364548495,0.05001435832745306
recall,0.7427063789818706,0.4,1.0,0.16045495065287735
f1_score,0.08433705002065923,0.014577259475218658,0.43478260869565216,0.07672790424004976
accuracy,0.080293159111773,0.02857142857142857,0.2939297124600639,0.05388081905842717
positives,18.74,5.0,92.0,13.31534330563575
negatives,366.08,105.0,691.0,158.3167633291573
tnr,0.039226555362653695,0.008316008316008316,0.17142857142857143,0.02672091002494825
npv,0.7223526861461578,0.2857142857142857,1.0,0.19105545051494313
fpr,0.9607734446373464,0.8285714285714286,0.9916839916839917,0.026720910024948242
fdr,0.952792441713489,0.7157190635451505,0.9926362297496318,0.05001435832745307
for,0.27764731385384234,0.0,0.7142857142857143,0.19105545051494316
fnr,0.25729362101812936,0.0,0.6,0.16045495065287735
balanced_accuracy,0.3909664671722621,0.21595744680851064,0.5376569037656904,0.07792783945185243
true_negatives,11.9,3.0,23.0,4.5636093842752254
true_positives,13.86,4.0,85.0,12.113426519396414
false_negatives,4.88,0.0,18.0,3.852589905452154
false_positives,354.18,87.0,677.0,157.74219344182055
kappa,-0.02954345398732233,-0.2293388429752068,0.0052482915717539935,0.03910712526572649
mcc,-0.21879201097721823,-0.5553798873990784,0.051293762240299676,0.1587314059168148
support,384.82,131.0,700.0,155.6181472550745
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.28937016282268646,0.0,0.8687949224876582,0.2762793507011963
ndcg_10,0.26191331009147356,0.0,0.7791714369672127,0.21631375062510344
ndcg_all,0.44547940358096744,0.12944722412817672,0.8225375344513977,0.17331742973649808
