,mean,min,max,std
precision,0.04986449369414391,0.007849293563579277,0.2842809364548495,0.04976947068899396
recall,0.7462357907465765,0.4,1.0,0.1584763664705784
f1_score,0.08911754848841898,0.015527950310559006,0.43478260869565216,0.07646010064873127
accuracy,0.08381591750861928,0.031484257871064465,0.2939297124600639,0.052709657406884464
positives,18.74,5.0,92.0,13.31534330563575
negatives,339.36,88.0,698.0,141.18633801050413
tnr,0.04040864113029586,0.010498687664041995,0.17142857142857143,0.025731549649179376
npv,0.7230408768011675,0.2857142857142857,1.0,0.1907233971437662
fpr,0.9595913588697041,0.8285714285714286,0.989501312335958,0.025731549649179373
fdr,0.950135506305856,0.7157190635451505,0.9921507064364207,0.04976947068899396
for,0.2769591231988324,0.0,0.7142857142857143,0.19072339714376618
fnr,0.2537642092534235,0.0,0.6,0.1584763664705784
balanced_accuracy,0.3933222159384362,0.21595744680851064,0.5238805970149254,0.07645865458081252
true_negatives,11.74,3.0,23.0,4.503105504390661
true_positives,13.92,4.0,85.0,12.099654236921863
false_negatives,4.82,0.0,18.0,3.83693117169523
false_positives,327.62,85.0,684.0,140.4520239099749
kappa,-0.030437549144732564,-0.2293388429752068,0.005174325489712972,0.03925905131865315
mcc,-0.21482287627993243,-0.5553798873990784,0.05093008460415672,0.1573966148574524
support,358.1,95.0,715.0,138.22877369618462
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.3116497257060909,0.0,1.0,0.2919045720136213
ndcg_10,0.27472642846837025,0.0,0.7791714369672127,0.22728063070741533
ndcg_all,0.4522404757892104,0.13367892979102353,0.8225375344513977,0.18419950751527475
