,precision,recall,f1_score,accuracy,positives,negatives,tnr,npv,fpr,fdr,for,fnr,balanced_accuracy,true_negatives,true_positives,false_negatives,false_positives,kappa,mcc,support,topic_number,ndcg_5,ndcg_10,ndcg_all
0,0.05252918287937743,0.8709677419354839,0.09908256880733946,0.0683111954459203,31,496,0.018145161290322582,0.6923076923076923,0.9818548387096774,0.9474708171206225,0.3076923076923077,0.12903225806451613,0.44455645161290325,9,27,4,487,-0.01335437659341987,-0.16820909046284335,527,1,0.404762744029787,0.27129327098547446,0.5070442905398684
1,0.04556962025316456,0.6428571428571429,0.0851063829787234,0.05378973105134474,28,381,0.010498687664041995,0.2857142857142857,0.989501312335958,0.9544303797468354,0.7142857142857143,0.35714285714285715,0.3266779152605924,4,18,10,377,-0.04901681390709611,-0.4814629113784679,409,2,1.0,0.7183627972686238,0.615685197453243
2,0.0718232044198895,0.5416666666666666,0.12682926829268293,0.09595959595959595,24,174,0.034482758620689655,0.35294117647058826,0.9655172413793104,0.9281767955801105,0.6470588235294118,0.4583333333333333,0.2880747126436781,6,13,11,168,-0.11096482979123579,-0.4937751996149203,198,3,0.0,0.14279514403613733,0.39230591890384603
3,0.023017902813299233,0.9,0.04488778054862843,0.07263922518159806,10,403,0.052109181141439205,0.9545454545454546,0.9478908188585607,0.9769820971867008,0.045454545454545456,0.1,0.47605459057071964,21,9,1,382,-0.0024462428624845156,-0.03277970696217682,413,4,0.48522855511632257,0.34973201611667765,0.5372037267930717
4,0.04,0.8,0.0761904761904762,0.0877742946708464,15,304,0.05263157894736842,0.8421052631578947,0.9473684210526315,0.96,0.15789473684210525,0.2,0.4263157894736842,16,12,3,288,-0.014690932939826151,-0.1318103228841981,319,5,0.7840048711692542,0.6417426596172745,0.7867304888263791
5,0.03,0.6923076923076923,0.05750798722044728,0.09785932721712538,13,314,0.0732484076433121,0.8518518518518519,0.9267515923566879,0.97,0.14814814814814814,0.3076923076923077,0.3827780499755022,23,9,4,291,-0.02024304343687522,-0.1664305039210612,327,6,0.0,0.0521442648465579,0.2995928068531701
6,0.03006012024048096,0.7142857142857143,0.057692307692307696,0.050387596899224806,21,495,0.022222222222222223,0.6470588235294118,0.9777777777777777,0.969939879759519,0.35294117647058826,0.2857142857142857,0.3682539682539683,11,15,6,484,-0.022145681228321168,-0.29167892582181515,516,7,0.16958010263680806,0.13347537859706934,0.3226745845023503
7,0.010416666666666666,0.8,0.02056555269922879,0.04030226700251889,5,392,0.030612244897959183,0.9230769230769231,0.9693877551020408,0.9895833333333334,0.07692307692307693,0.2,0.41530612244897963,12,4,1,380,-0.00440923548903327,-0.10613845454513023,397,8,0.0,0.0,0.16249056747252347
8,0.234375,0.8653846153846154,0.36885245901639346,0.2524271844660194,52,154,0.045454545454545456,0.5,0.9545454545454546,0.765625,0.5,0.1346153846153846,0.4554195804195804,7,45,7,147,-0.0471349353049908,-0.15389395018030405,206,9,0.3082168163143322,0.33344148513045224,0.5758891235154875
9,0.2842809364548495,0.9239130434782609,0.43478260869565216,0.2939297124600639,92,221,0.03167420814479638,0.5,0.9683257918552036,0.7157190635451505,0.5,0.07608695652173914,0.4777936258115286,7,85,7,214,-0.026808377989223198,-0.09788093016180677,313,10,0.4343974612438291,0.5014991426187313,0.8225375344513977
