,mean,min,max,std
precision,0.04589937181721401,0.007974481658692184,0.234375,0.04411561117083201
recall,0.7425244326549527,0.4,1.0,0.16880335777681782
f1_score,0.08264827426916352,0.015772870662460567,0.36885245901639346,0.06987231778563113
accuracy,0.07846716888809534,0.02386634844868735,0.2524271844660194,0.04925966095922884
positives,18.74,5.0,92.0,13.31534330563575
negatives,369.28,105.0,821.0,157.33910343391358
tnr,0.03858334922401602,0.00847457627118644,0.17142857142857143,0.02652182141881918
npv,0.7226089401858617,0.2857142857142857,1.0,0.19313846038463536
fpr,0.961416650775984,0.8285714285714286,0.9915254237288136,0.02652182141881918
fdr,0.9541006281827858,0.765625,0.9920255183413078,0.044115611170832014
for,0.2773910598141383,0.0,0.7142857142857143,0.19313846038463536
fnr,0.2574755673450473,0.0,0.6,0.16880335777681782
balanced_accuracy,0.39055389093948434,0.21379952711900838,0.5236768802228412,0.08130991763351103
true_negatives,11.84,3.0,23.0,4.559627625325631
true_positives,13.84,4.0,85.0,12.164451387178149
false_negatives,4.9,0.0,18.0,3.949941875056712
false_positives,357.44,87.0,808.0,156.8735562580935
kappa,-0.030318586015455336,-0.2293388429752068,0.002162402811123676,0.03950780556702118
mcc,-0.2196499829668455,-0.5553798873990784,0.03289941743146654,0.16276788475008444
support,388.02,136.0,838.0,154.9059609398356
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.27098343003834835,0.0,0.8687949224876582,0.27808689171657114
ndcg_10,0.2455839966239086,0.0,0.7791714369672127,0.2176719599405394
ndcg_all,0.43248238268656924,0.13358856472138644,0.8221353419585914,0.17588505529240878
