,mean,min,max,std
precision,0.026914118522677336,0.005512679162072767,0.11574074074074074,0.019587098383435843
recall,0.7667106698065038,0.46153846153846156,1.0,0.14423793771562962
f1_score,0.05097593400642708,0.010940919037199124,0.19083969465648856,0.03358220622787337
accuracy,0.046217235206731,0.021645021645021644,0.12396694214876033,0.0205122954895625
positives,18.74,5.0,92.0,13.31534330563575
negatives,554.82,234.0,917.0,142.13010567355357
tnr,0.021101346639583584,0.0065252854812398045,0.041990668740279936,0.008260291029661731
npv,0.7289302395209499,0.19230769230769232,1.0,0.19607188441195905
fpr,0.9788986533604165,0.9580093312597201,0.9934747145187602,0.008260291029661731
fdr,0.9730858814773227,0.8842592592592593,0.9944873208379272,0.019587098383435836
for,0.2710697604790501,0.0,0.8076923076923077,0.19607188441195905
fnr,0.23328933019349615,0.0,0.5384615384615384,0.14423793771562962
balanced_accuracy,0.39390600822304367,0.2391961970613656,0.5137254901960784,0.0718387131443806
true_negatives,11.36,3.0,27.0,4.601508182218131
true_positives,13.82,4.0,50.0,8.404784837416441
false_negatives,4.92,0.0,42.0,6.137339714852861
false_positives,543.46,231.0,902.0,140.8137009219875
kappa,-0.018137802392835127,-0.1785353303317101,0.0008710801393728707,0.02687795035665878
mcc,-0.22247557966650078,-0.5461127237587665,0.020874143036171647,0.15539774533164913
support,573.56,241.0,924.0,139.26617591900066
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.14893567757867832,0.0,0.830419897363192,0.23526209409153356
ndcg_10,0.13367404433616362,0.0,0.6172839611614819,0.18083717318362558
ndcg_all,0.3499275055982548,0.12712827983987895,0.6903871687882924,0.14329516141415516
