,mean,min,max,std
precision,0.02739137035875533,0.02564102564102564,0.030542986425339366,0.0027349544653572314
recall,0.7347670250896058,0.5833333333333334,0.8709677419354839,0.14442098495870584
f1_score,0.05279281163664253,0.04912280701754386,0.05901639344262295,0.005418609639441612
accuracy,0.03541533280044807,0.030525030525030524,0.04013377926421405,0.004806679092490891
positives,27.666666666666668,24.0,31.0,3.5118845842842465
negatives,731.6666666666666,538.0,866.0,171.8613782480908
tnr,0.008867305356429532,0.0050568900126422255,0.011152416356877323,0.003321712714575694
npv,0.47698135198135194,0.36363636363636365,0.6923076923076923,0.1865646206723087
fpr,0.9911326946435705,0.9888475836431226,0.9949431099873578,0.003321712714575725
fdr,0.9726086296412446,0.9694570135746606,0.9743589743589743,0.0027349544653572206
for,0.5230186480186481,0.3076923076923077,0.6363636363636364,0.1865646206723087
fnr,0.26523297491039427,0.12903225806451613,0.4166666666666667,0.1444209849587059
balanced_accuracy,0.3718171652230177,0.29724287484510536,0.4406801758176265,0.07188900378460379
true_negatives,6.333333333333333,4.0,9.0,2.516611478423583
true_positives,20.666666666666668,14.0,27.0,6.506407098647712
false_negatives,7.0,4.0,10.0,3.0
false_positives,725.3333333333334,532.0,857.0,171.0506747526397
kappa,-0.0202958810020429,-0.03560306257054657,-0.008316502316739971,0.013944346404304288
mcc,-0.35366386308914755,-0.4929995995471231,-0.18133090751342265,0.15843281147107113
support,759.3333333333334,562.0,897.0,175.28928470768923
topic_number,2.0,1.0,3.0,1.0
ndcg_5,0.28959830749588605,0.0,0.5296347172140421,0.2682732183858411
ndcg_10,0.1903398973083509,0.0,0.3436966913921454,0.17480751231444705
ndcg_all,0.4050243650080591,0.26466730298328534,0.47571860339128763,0.12155387529512163
