,mean,min,max,std
precision,0.01772539631001043,0.0035294117647058825,0.03566121842496285,0.007352722059663635
recall,0.8062744467081469,0.5,1.0,0.11869380154694614
f1_score,0.03457393267742952,0.007009345794392523,0.06837606837606838,0.014074303745385063
accuracy,0.030876950577575526,0.014161220043572984,0.05307262569832402,0.0076183190364125086
positives,16.44,5.0,31.0,6.363672409121344
negatives,761.02,294.0,1063.0,121.54859446462774
tnr,0.013743250828777243,0.004439511653718091,0.026436781609195402,0.005493432685844844
npv,0.7588623184521017,0.3333333333333333,1.0,0.17615672093650453
fpr,0.9862567491712226,0.9735632183908046,0.9955604883462819,0.005493432685844843
fdr,0.9822746036899894,0.9643387815750372,0.9964705882352941,0.007352722059663633
for,0.24113768154789827,0.0,0.6666666666666666,0.17615672093650453
fnr,0.19372555329185318,0.0,0.5,0.11869380154694613
balanced_accuracy,0.410008848768462,0.2632183908045977,0.5108695652173914,0.05945267309499336
true_negatives,10.44,3.0,23.0,4.463731394157098
true_positives,13.12,3.0,24.0,4.971921157862422
false_negatives,3.32,0.0,8.0,2.411198364096245
false_positives,750.58,291.0,1046.0,120.21003557549271
kappa,-0.008005579537023093,-0.023518101832823657,0.0005343842891019079,0.0061500508737710215
mcc,-0.1939084438179081,-0.5532948574677541,0.01634819730959484,0.1311858433618014
support,777.46,301.0,1070.0,121.39868707893754
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.2718864099493894,0.0,0.8687949224876582,0.2388264311078783
ndcg_10,0.27876704063142077,0.0,0.7058075148678526,0.20036393053538917
ndcg_all,0.4860406229980607,0.14801981621784835,0.7786156395221243,0.1599746745019281
