,mean,min,max,std
precision,0.10980719560551494,0.02,0.20588235294117646,0.04297799205735756
recall,0.6732485055230903,0.29411764705882354,1.0,0.17437585258175786
f1_score,0.185663979078096,0.03773584905660377,0.34146341463414637,0.0665518323841628
accuracy,0.2011028160357155,0.12195121951219512,0.3076923076923077,0.03525215622794814
positives,16.44,5.0,31.0,6.363672409121344
negatives,100.6,32.0,123.0,12.657175104763823
tnr,0.12418737561569528,0.046511627906976744,0.2032520325203252,0.038223359736919475
npv,0.6960134863742475,0.2857142857142857,1.0,0.18612208154806867
fpr,0.8758126243843047,0.7967479674796748,0.9534883720930233,0.038223359736919475
fdr,0.8901928043944851,0.7941176470588235,0.98,0.04297799205735757
for,0.30398651362575246,0.0,0.7142857142857143,0.18612208154806872
fnr,0.3267514944769097,0.0,0.7058823529411765,0.17437585258175786
balanced_accuracy,0.3987179405693928,0.19368932038834952,0.5863636363636364,0.09011848162456373
true_negatives,12.7,4.0,25.0,4.912499675442685
true_positives,10.7,2.0,19.0,4.097037257057139
false_negatives,5.74,0.0,18.0,3.9888108810644254
false_positives,87.9,27.0,98.0,9.689569397142519
kappa,-0.07247109955157889,-0.2345724907063198,0.06233303650934985,0.06926551363107658
mcc,-0.19479404019136468,-0.5797781267301296,0.17935751349485982,0.17023465000827023
support,117.04,39.0,136.0,12.43917445912267
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.2541618990689679,0.0,1.0,0.2560182023321476
ndcg_10,0.2538243880997297,0.0,0.7237836454106672,0.20366349694041816
ndcg_all,0.4606872047977897,0.15310411943654267,0.8381376435777415,0.14870828677323622
