,mean,min,max,std
precision,0.04397827922476957,0.013774104683195593,0.21,0.038633651261039334
recall,0.7251036147562266,0.3,1.0,0.15723296317822014
f1_score,0.0807834085573205,0.02702702702702703,0.34146341463414637,0.06313707278102568
accuracy,0.07820497033455483,0.034739454094292806,0.3076923076923077,0.04408453669215355
positives,18.74,5.0,92.0,13.31534330563575
negatives,332.24,32.0,402.0,69.66027181534504
tnr,0.038969290459461965,0.011111111111111112,0.15625,0.022621208306049335
npv,0.7054942576455566,0.23076923076923078,1.0,0.18925782575835776
fpr,0.961030709540538,0.84375,0.9888888888888889,0.02262120830604934
fdr,0.9560217207752305,0.79,0.9862258953168044,0.03863365126103934
for,0.2945057423544434,0.0,0.7692307692307693,0.18925782575835776
fnr,0.27489638524377347,0.0,0.7,0.15723296317822014
balanced_accuracy,0.38203645260784425,0.160443864229765,0.578125,0.0833659835677714
true_negatives,12.0,3.0,25.0,4.802210375420461
true_positives,13.62,4.0,84.0,12.065958185688176
false_negatives,5.12,0.0,14.0,3.532011047663403
false_positives,320.24,27.0,390.0,68.44111426948702
kappa,-0.02499233533070292,-0.07246483721845198,0.06233303650934985,0.023608952088518757
mcc,-0.23681323510415653,-0.6492054167789117,0.17935751349485982,0.16672537231125556
support,350.98,39.0,421.0,71.86821556267601
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.2589924904132255,0.0,0.8687949224876582,0.24523103232516436
ndcg_10,0.23712126234333572,0.0,0.8132374154820285,0.22548380437605856
ndcg_all,0.42914766443574615,0.14259270606340466,0.8308308079072788,0.16159774276604377
