,mean,min,max,std
precision,0.04595331894785522,0.013157894736842105,0.21158690176322417,0.04313512805314572
recall,0.719326165101978,0.29411764705882354,1.0,0.16093038642190094
f1_score,0.0837001149667217,0.025889967637540454,0.34355828220858897,0.06970526262168887
accuracy,0.08118086060464233,0.040100250626566414,0.3076923076923077,0.04780838358978098
positives,18.74,5.0,92.0,13.31534330563575
negatives,323.48,32.0,401.0,69.83982841225387
tnr,0.040468654470094644,0.010810810810810811,0.15625,0.022694977784976728
npv,0.7052479891605479,0.2857142857142857,1.0,0.18507911924781495
fpr,0.9595313455299054,0.84375,0.9891891891891892,0.022694977784976728
fdr,0.9540466810521447,0.7884130982367759,0.9868421052631579,0.04313512805314572
for,0.29475201083945196,0.0,0.7142857142857143,0.18507911924781495
fnr,0.28067383489802206,0.0,0.7058823529411765,0.16093038642190094
balanced_accuracy,0.37989740978603637,0.1700096432015429,0.578125,0.08385785309622423
true_negatives,12.08,4.0,24.0,4.745954238364826
true_positives,13.54,4.0,84.0,12.095217472798318
false_negatives,5.2,0.0,13.0,3.5167238928831916
false_positives,311.4,27.0,388.0,68.96523821196193
kappa,-0.026414282353697572,-0.07543925398470064,0.06233303650934985,0.023965002899523098
mcc,-0.2380599375989082,-0.5986908398886966,0.17935751349485982,0.16469710375415494
support,342.22,39.0,423.0,70.50033724047289
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.23790913045369155,0.0,1.0,0.25530648084155494
ndcg_10,0.22811534874628359,0.0,0.7558364063871931,0.21497955752815415
ndcg_all,0.4284152834288853,0.13406751260300553,0.8510327699889189,0.17237631909542497
