,mean,min,max,std
precision,0.04810224552894219,0.015424164524421594,0.28,0.04366801916667863
recall,0.7133970882573252,0.35,1.0,0.15916649925809168
f1_score,0.08724747918570543,0.03007518796992481,0.42857142857142855,0.06883074276970748
accuracy,0.08622011964077338,0.03980099502487562,0.28888888888888886,0.04891559614332204
positives,18.74,5.0,92.0,13.31534330563575
negatives,308.82,54.0,406.0,86.53952500305917
tnr,0.04415144062993213,0.01038961038961039,0.16666666666666666,0.02791063520203017
npv,0.7028120287919312,0.2857142857142857,1.0,0.18301397519169113
fpr,0.9558485593700677,0.8333333333333334,0.9896103896103896,0.027910635202030177
fdr,0.9518977544710578,0.72,0.9845758354755784,0.04366801916667863
for,0.2971879712080688,0.0,0.7142857142857143,0.18301397519169113
fnr,0.2866029117426749,0.0,0.65,0.15916649925809168
balanced_accuracy,0.37877426444362855,0.18678010471204187,0.5277777777777778,0.07973397327708556
true_negatives,12.1,3.0,25.0,4.8160022374393066
true_positives,13.46,4.0,84.0,12.107022755409359
false_negatives,5.28,0.0,13.0,3.4936677411732053
false_positives,296.72,51.0,387.0,85.85299253101554
kappa,-0.03016296723296337,-0.11318185686324589,0.013320647002854402,0.024896691812215238
mcc,-0.23959742560086977,-0.5988566496297605,0.08188394740675291,0.15958170875465585
support,327.56,61.0,420.0,87.35131039985279
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.4363266271948975,0.0,1.0,0.3064279126647385
ndcg_10,0.40789297363614013,0.0,1.0,0.24127818167142345
ndcg_all,0.5321443999932874,0.16587191347578428,0.8178118569317641,0.16804813095409035
