,0
precision,0.10991570701267567
recall,0.6720720349348551
f1_score,0.18572158578001782
accuracy,0.2012988897160555
positives,16.44
negatives,100.38
tnr,0.12450872981617137
npv,0.6944983348590961
fpr,0.8754912701838287
fdr,0.8900842929873244
for,0.30550166514090393
fnr,0.327927965065145
balanced_accuracy,0.3982903823755132
true_negatives,12.7
true_positives,10.68
false_negatives,5.76
false_positives,87.68
kappa,-0.07302190937532724
mcc,-0.19590268351008697
support,116.82
topic_number,25.5
ndcg_5,0.5692035922373389
ndcg_10,0.5483171122244352
ndcg_all,0.5969358940898233
