,mean,min,max,std
precision,0.6125163733874597,0.09,1.0,0.23044966281820783
recall,0.6905339060186112,0.29411764705882354,1.0,0.17357575164598207
f1_score,0.6107285636933469,0.1592920353982301,0.926829268292683,0.16441460904809993
accuracy,0.6399241110222693,0.26356589147286824,0.8888888888888888,0.13062605704538102
positives,18.74,5.0,92.0,13.31534330563575
negatives,23.48,5.0,116.0,18.698728539117084
tnr,0.6431804968532419,0.11290322580645161,1.0,0.20416379785631797
npv,0.6960134863742475,0.2857142857142857,1.0,0.18612208154806867
fpr,0.35681950314675814,0.0,0.8870967741935484,0.20416379785631797
fdr,0.38748362661254027,0.0,0.91,0.23044966281820783
for,0.30398651362575246,0.0,0.7142857142857143,0.18612208154806872
fnr,0.3094660939813889,0.0,0.7058823529411765,0.17357575164598207
balanced_accuracy,0.6668572014359263,0.4297385620915033,0.9318181818181819,0.11075690690640975
true_negatives,12.7,4.0,25.0,4.912499675442685
true_positives,13.0,4.0,84.0,12.113409671828615
false_negatives,5.74,0.0,18.0,3.9888108810644254
false_positives,10.78,0.0,91.0,17.017745839839886
kappa,0.29615365561446955,-0.1400651465798044,0.7011070110701105,0.20402773288085685
mcc,0.3194466498652554,-0.14098436433616354,0.7346922670565733,0.21133841363099168
support,42.22,21.0,129.0,23.33543333601482
topic_number,25.5,1.0,50.0,14.577379737113251
ndcg_5,0.45292910005639925,0.0,1.0,0.3201829193497092
ndcg_10,0.43122958183063986,0.0,1.0,0.26212361675392676
ndcg_all,0.5789349237762388,0.21427168850950465,0.8844146391089225,0.18168600977581906
